"pomiar" "Szczep" "warunki"
"1" "Tak" "A" 1
"2" "Nie" "A" 1
"3" "Tak" "A" 1
"4" "Tak" "A" 1
"5" "NA" "A" 1
"6" "Tak" "A" 1
"7" "NA" "A" 1
"8" "Może" "A" 1
"9" "Może" "A" 1
"10" "Nie" "A" 1
"11" "Może" "A" 1
"12" "Może" "A" 1
"13" "Tak" "A" 1
"14" "NA" "A" 1
"15" "Nie" "A" 1
"16" "Tak" "A" 1
"17" "Tak" "A" 1
"18" "Może" "A" 1
"19" "Nie" "A" 1
"20" "Tak" "A" 1
"21" "Nie" "A" 1
"22" "Może" "A" 1
"23" "Tak" "A" 1
"24" "Tak" "A" 1
"25" "NA" "A" 1
"26" "Tak" "A" 1
"27" "Tak" "A" 1
"28" "Może" "A" 1
"29" "Tak" "A" 1
"30" "Nie" "A" 1
"31" "Nie" "A" 1
"32" "Nie" "A" 1
"33" "Tak" "A" 1
"34" "Nie" "A" 1
"35" "Tak" "A" 1
"36" "Nie" "A" 1
"37" "Może" "A" 1
"38" "Tak" "A" 1
"39" "Tak" "A" 1
"40" "Tak" "A" 1
"41" "Nie" "A" 1
"42" "Nie" "A" 1
"43" "Tak" "A" 1
"44" "Nie" "A" 1
"45" "Tak" "A" 1
"46" "Może" "A" 1
"47" "Może" "A" 1
"48" "Nie" "A" 1
"49" "Tak" "A" 1
"50" "Tak" "A" 1
"51" "Nie" "A" 1
"52" "NA" "A" 1
"53" "Tak" "A" 1
"54" "Tak" "A" 1
"55" "Tak" "A" 1
"56" "Nie" "A" 1
"57" "Tak" "A" 1
"58" "Tak" "A" 1
"59" "Nie" "A" 1
"60" "Tak" "A" 1
"61" "Tak" "A" 1
"62" "Tak" "A" 1
"63" "Tak" "A" 1
"64" "Tak" "A" 1
"65" "Tak" "A" 1
"66" "Tak" "A" 1
"67" "Nie" "A" 1
"68" "Tak" "A" 1
"69" "Tak" "A" 1
"70" "Nie" "A" 1
"71" "Nie" "A" 1
"72" "Tak" "A" 1
"73" "Nie" "A" 1
"74" "Tak" "A" 1
"75" "Tak" "A" 1
"76" "NA" "A" 1
"77" "Tak" "A" 1
"78" "NA" "A" 1
"79" "Tak" "A" 1
"80" "Nie" "A" 1
"81" "Tak" "A" 1
"82" "Nie" "A" 1
"83" "Tak" "A" 1
"84" "Tak" "A" 1
"85" "Tak" "A" 1
"86" "Tak" "A" 1
"87" "Nie" "A" 1
"88" "NA" "A" 1
"89" "Nie" "A" 1
"90" "Nie" "A" 1
"91" "Tak" "A" 1
"92" "Tak" "A" 1
"93" "Nie" "A" 1
"94" "Tak" "A" 1
"95" "Tak" "A" 1
"96" "NA" "A" 1
"97" "Nie" "A" 1
"98" "Tak" "A" 1
"99" "NA" "A" 1
"100" "Tak" "A" 1
"101" "Nie" "A" 1
"102" "Tak" "A" 1
"103" "Nie" "A" 1
"104" "Tak" "A" 1
"105" "Nie" "A" 1
"106" "Tak" "A" 1
"107" "Nie" "A" 1
"108" "Tak" "A" 1
"109" "Tak" "A" 1
"110" "Tak" "A" 1
"111" "Tak" "A" 1
"112" "Tak" "A" 1
"113" "Nie" "A" 1
"114" "Tak" "A" 1
"115" "Nie" "A" 1
"116" "Nie" "A" 1
"117" "Nie" "A" 1
"118" "Może" "A" 1
"119" "Nie" "A" 1
"120" "Tak" "A" 1
"121" "Tak" "A" 1
"122" "Nie" "A" 1
"123" "Może" "A" 1
"124" "Tak" "A" 1
"125" "Tak" "A" 1
"126" "NA" "A" 1
"127" "NA" "A" 1
"128" "Tak" "A" 1
"129" "Tak" "A" 1
"130" "Tak" "A" 1
"131" "Nie" "A" 1
"132" "Nie" "A" 1
"133" "Może" "A" 1
"134" "Tak" "A" 1
"135" "Nie" "A" 1
"136" "Może" "A" 1
"137" "Tak" "A" 1
"138" "Nie" "A" 1
"139" "Tak" "A" 1
"140" "Tak" "A" 1
"141" "Nie" "A" 1
"142" "Tak" "A" 1
"143" "Tak" "A" 1
"144" "Nie" "A" 1
"145" "Nie" "A" 1
"146" "Nie" "A" 1
"147" "Nie" "A" 1
"148" "Nie" "A" 1
"149" "Tak" "A" 1
"150" "Tak" "A" 1
"151" "Tak" "A" 1
"152" "Tak" "A" 1
"153" "NA" "A" 1
"154" "Nie" "A" 1
"155" "Tak" "A" 1
"156" "Tak" "A" 1
"157" "Nie" "A" 1
"158" "Nie" "A" 1
"159" "Tak" "A" 1
"160" "Może" "A" 1
"161" "Nie" "A" 1
"162" "Nie" "A" 1
"163" "Nie" "A" 1
"164" "Tak" "A" 1
"165" "NA" "A" 1
"166" "NA" "A" 1
"167" "Tak" "A" 1
"168" "Tak" "A" 1
"169" "Tak" "A" 1
"170" "Nie" "A" 1
"171" "Nie" "A" 1
"172" "Nie" "A" 1
"173" "Może" "A" 1
"174" "Nie" "A" 1
"175" "Nie" "A" 1
"176" "Nie" "A" 1
"177" "Tak" "A" 1
"178" "NA" "A" 1
"179" "Nie" "A" 1
"180" "Może" "A" 1
"181" "Tak" "A" 1
"182" "NA" "A" 1
"183" "Tak" "A" 1
"184" "Nie" "A" 1
"185" "Nie" "A" 1
"186" "Nie" "A" 1
"187" "Nie" "A" 1
"188" "Tak" "A" 1
"189" "Nie" "A" 1
"190" "Tak" "A" 1
"191" "NA" "A" 1
"192" "Może" "A" 1
"193" "Tak" "A" 1
"194" "Nie" "A" 1
"195" "Nie" "A" 1
"196" "NA" "A" 1
"197" "Może" "A" 1
"198" "Tak" "A" 1
"199" "Tak" "A" 1
"200" "Tak" "A" 1
"201" "Nie" "B" 1
"202" "Nie" "B" 1
"203" "Może" "B" 1
"204" "Nie" "B" 1
"205" "Nie" "B" 1
"206" "Nie" "B" 1
"207" "Tak" "B" 1
"208" "Nie" "B" 1
"209" "Nie" "B" 1
"210" "Tak" "B" 1
"211" "Tak" "B" 1
"212" "Nie" "B" 1
"213" "Nie" "B" 1
"214" "Nie" "B" 1
"215" "Tak" "B" 1
"216" "Tak" "B" 1
"217" "Może" "B" 1
"218" "Nie" "B" 1
"219" "NA" "B" 1
"220" "Tak" "B" 1
"221" "NA" "B" 1
"222" "Nie" "B" 1
"223" "Nie" "B" 1
"224" "Nie" "B" 1
"225" "NA" "B" 1
"226" "Nie" "B" 1
"227" "Nie" "B" 1
"228" "Tak" "B" 1
"229" "Nie" "B" 1
"230" "Tak" "B" 1
"231" "Nie" "B" 1
"232" "Tak" "B" 1
"233" "Nie" "B" 1
"234" "Nie" "B" 1
"235" "Tak" "B" 1
"236" "Nie" "B" 1
"237" "Nie" "B" 1
"238" "Nie" "B" 1
"239" "Nie" "B" 1
"240" "Nie" "B" 1
"241" "Tak" "B" 1
"242" "Tak" "B" 1
"243" "Nie" "B" 1
"244" "Nie" "B" 1
"245" "Tak" "B" 1
"246" "Nie" "B" 1
"247" "Tak" "B" 1
"248" "Nie" "B" 1
"249" "Nie" "B" 1
"250" "Może" "B" 1
"251" "Tak" "B" 1
"252" "Nie" "B" 1
"253" "Tak" "B" 1
"254" "Może" "B" 1
"255" "Nie" "B" 1
"256" "Tak" "B" 1
"257" "Nie" "B" 1
"258" "Nie" "B" 1
"259" "Tak" "B" 1
"260" "Nie" "B" 1
"261" "Nie" "B" 1
"262" "Może" "B" 1
"263" "Nie" "B" 1
"264" "Tak" "B" 1
"265" "Tak" "B" 1
"266" "NA" "B" 1
"267" "Tak" "B" 1
"268" "Może" "B" 1
"269" "Nie" "B" 1
"270" "NA" "B" 1
"271" "Tak" "B" 1
"272" "Tak" "B" 1
"273" "Nie" "B" 1
"274" "Nie" "B" 1
"275" "NA" "B" 1
"276" "Nie" "B" 1
"277" "Tak" "B" 1
"278" "Tak" "B" 1
"279" "Nie" "B" 1
"280" "Nie" "B" 1
"281" "Tak" "B" 1
"282" "Tak" "B" 1
"283" "Nie" "B" 1
"284" "Tak" "B" 1
"285" "Tak" "B" 1
"286" "Nie" "B" 1
"287" "Tak" "B" 1
"288" "Nie" "B" 1
"289" "Może" "B" 1
"290" "Tak" "B" 1
"291" "Nie" "B" 1
"292" "Może" "B" 1
"293" "Nie" "B" 1
"294" "Nie" "B" 1
"295" "Nie" "B" 1
"296" "Tak" "B" 1
"297" "Nie" "B" 1
"298" "Tak" "B" 1
"299" "Może" "B" 1
"300" "Może" "B" 1
"301" "Nie" "B" 1
"302" "Nie" "B" 1
"303" "Nie" "B" 1
"304" "Nie" "B" 1
"305" "Tak" "B" 1
"306" "NA" "B" 1
"307" "Nie" "B" 1
"308" "Nie" "B" 1
"309" "Może" "B" 1
"310" "Tak" "B" 1
"311" "Tak" "B" 1
"312" "Nie" "B" 1
"313" "Nie" "B" 1
"314" "Tak" "B" 1
"315" "Tak" "B" 1
"316" "Tak" "B" 1
"317" "Może" "B" 1
"318" "NA" "B" 1
"319" "Nie" "B" 1
"320" "Tak" "B" 1
"321" "Nie" "B" 1
"322" "Nie" "B" 1
"323" "Nie" "B" 1
"324" "Tak" "B" 1
"325" "Tak" "B" 1
"326" "Tak" "B" 1
"327" "Może" "B" 1
"328" "Nie" "B" 1
"329" "Tak" "B" 1
"330" "Nie" "B" 1
"331" "Nie" "B" 1
"332" "Może" "B" 1
"333" "Tak" "B" 1
"334" "Nie" "B" 1
"335" "Tak" "B" 1
"336" "Nie" "B" 1
"337" "Tak" "B" 1
"338" "Może" "B" 1
"339" "Nie" "B" 1
"340" "Tak" "B" 1
"341" "Nie" "B" 1
"342" "Nie" "B" 1
"343" "Nie" "B" 1
"344" "NA" "B" 1
"345" "Tak" "B" 1
"346" "Nie" "B" 1
"347" "Nie" "B" 1
"348" "Tak" "B" 1
"349" "Nie" "B" 1
"350" "Tak" "B" 1
"351" "Nie" "B" 1
"352" "Może" "B" 1
"353" "Może" "B" 1
"354" "Tak" "B" 1
"355" "Tak" "B" 1
"356" "NA" "B" 1
"357" "Tak" "B" 1
"358" "Tak" "B" 1
"359" "Tak" "B" 1
"360" "Może" "B" 1
"361" "Może" "B" 1
"362" "Nie" "B" 1
"363" "Tak" "B" 1
"364" "Nie" "B" 1
"365" "Nie" "B" 1
"366" "Nie" "B" 1
"367" "Może" "B" 1
"368" "Tak" "B" 1
"369" "Nie" "B" 1
"370" "Tak" "B" 1
"371" "Nie" "B" 1
"372" "Nie" "B" 1
"373" "Tak" "B" 1
"374" "Tak" "B" 1
"375" "Nie" "B" 1
"376" "Tak" "B" 1
"377" "Tak" "B" 1
"378" "Nie" "B" 1
"379" "Nie" "B" 1
"380" "Nie" "B" 1
"381" "Tak" "B" 1
"382" "Może" "B" 1
"383" "Może" "B" 1
"384" "Tak" "B" 1
"385" "Tak" "B" 1
"386" "Nie" "B" 1
"387" "Nie" "B" 1
"388" "Tak" "B" 1
"389" "Nie" "B" 1
"390" "Tak" "B" 1
"391" "Nie" "B" 1
"392" "Może" "B" 1
"393" "Nie" "B" 1
"394" "Może" "B" 1
"395" "Może" "B" 1
"396" "Tak" "B" 1
"397" "Nie" "B" 1
"398" "Nie" "B" 1
"399" "Tak" "B" 1
"400" "Tak" "B" 1
"401" "Może" "C" 1
"402" "Tak" "C" 1
"403" "Nie" "C" 1
"404" "Tak" "C" 1
"405" "Nie" "C" 1
"406" "Nie" "C" 1
"407" "Nie" "C" 1
"408" "Nie" "C" 1
"409" "Może" "C" 1
"410" "NA" "C" 1
"411" "Może" "C" 1
"412" "Może" "C" 1
"413" "Nie" "C" 1
"414" "Nie" "C" 1
"415" "Nie" "C" 1
"416" "Nie" "C" 1
"417" "NA" "C" 1
"418" "Nie" "C" 1
"419" "Tak" "C" 1
"420" "Nie" "C" 1
"421" "Może" "C" 1
"422" "NA" "C" 1
"423" "Może" "C" 1
"424" "Nie" "C" 1
"425" "Może" "C" 1
"426" "Nie" "C" 1
"427" "Tak" "C" 1
"428" "Nie" "C" 1
"429" "Nie" "C" 1
"430" "Nie" "C" 1
"431" "Może" "C" 1
"432" "Nie" "C" 1
"433" "Może" "C" 1
"434" "Nie" "C" 1
"435" "Nie" "C" 1
"436" "Może" "C" 1
