	jablka	banany	piwo	zboza	kawa	owoce	ryz	cukier	warzywa	wino	ser	jajka	ryby	mleko	wieprzowina	mieso_drobiowe
Albania	13	7	12	169	1	90	6	19	173	3	4	5	5	295	8	9
Austria	54	9	117	110	6	137	5	41	90	29	22	12	14	299	74	16
Bulgaria	5	5	39	153	3	45	3	27	144	3	3	10	2	150	35	19
Croatia	18	10	85	118	5	88	2	25	110	40	7	11	11	180	23	8
Czech_Republic	20	9	157	129	3	79	4	46	71	11	13	14	13	192	43	23
Denmark	52	14	94	139	8	146	3	44	102	32	24	17	24	239	63	18
Estonia	23	9	75	125	5	73	2	57	100	6	7	10	21	210	30	21
Finland	25	11	89	106	11	91	4	31	70	9	15	8	32	356	33	15
France	10	2	30	117	5	95	5	36	142	53	24	15	31	274	38	24
Germany	39	11	109	112	6	113	3	38	90	23	19	11	14	255	54	13
Greece	14	6	32	153	5	147	8	31	275	26	25	8	23	261	27	18
Hungary	22	10	73	125	3	71	5	35	117	33	9	16	5	168	52	30
Iceland	21	13	51	89	8	105	3	43	56	9	15	7	90	250	21	20
Ireland	15	9	189	125	2	137	3	36	82	13	12	6	17	329	44	28
Italy	10	8	26	162	5	130	5	29	178	51	22	11	26	251	43	15
Latvia	18	8	46	116	4	53	2	27	99	8	4	12	11	208	25	16
Lithuania	30	6	78	155	3	66	1	33	102	7	5	12	60	207	33	14
Netherlands	35	10	80	103	10	182	3	48	73	18	18	15	24	328	36	9
Norway	25	13	52	130	9	124	4	42	66	15	15	9	54	265	23	10
Poland	16	2	74	154	2	47	1	44	100	1	13	11	13	173	50	19
Portugal	33	13	59	132	4	116	17	30	181	53	9	9	59	214	42	22
Romania	29	3	58	204	2	64	3	25	179	22	1	13	3	224	28	19
Russian_Federation	15	5	52	151	2	48	5	43	96	6	4	13	18	150	16	16
Slovakia	12	8	89	124	3	59	5	30	70	8	7	12	7	101	32	26
Slovenia	44	12	65	139	5	142	3	12	72	13	10	6	7	239	39	28
Spain	14	9	66	98	3	112	7	33	143	36	7	13	47	173	66	30
Sweden	27	19	55	103	9	115	5	43	78	17	18	10	33	377	37	12
Switzerland	25	9	56	110	6	103	5	52	97	38	20	10	20	326	35	14
United_Kingdom	22	13	103	116	2	115	5	39	91	18	10	11	23	242	25	29
